"","title","geo_accession","source_name_ch1","source_name_ch2","characteristics_ch1","characteristics_ch2","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch2.1","characteristics_ch2.2","characteristics_ch2.3","reference source:ch2","characteristics_ch1.4","characteristics_ch1.5","characteristics_ch1.6","characteristics_ch2.4","library_source"
"GSM159457...19","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 5","GSM159457","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 5","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159458...20","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 1","GSM159458","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 1","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159460...21","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 3","GSM159460","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 3","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159462...22","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 5","GSM159462","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 5","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159443...23","Sasa kidney sample on controls, replicate 1","GSM159443","kidney tissue from a control fish , replicate 1","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159444...24","Sasa kidney sample on controls, replicate 2","GSM159444","kidney tissue from a control fish , replicate 2","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159445...25","Sasa kidney sample on controls, replicate 3","GSM159445","kidney tissue from a control fish , replicate 3","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159446...26","Sasa kidney sample on controls, replicate 4","GSM159446","kidney tissue from a control fish , replicate 4","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159447...27","Sasa kidney sample on controls, replicate 5","GSM159447","kidney tissue from a control fish , replicate 5","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159454...28","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 2","GSM159454","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 2","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159456...29","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 4","GSM159456","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 4","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159459...30","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 2","GSM159459","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 2","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159461...31","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 4","GSM159461","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 4","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM242710","Control fish 4 (CF8) vs AGD lesion fish 5 (IF8L)","GSM242710","Total RNA from AGD-naive gill non-lesion tissue","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-naive fish 4, no lesion tissue, CF8","AGD-affected fish 5, AGD lesion tissue, IF8L","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 60.8","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 85.3",NA,NA,NA,NA,NA,NA
"GSM242711","Control fish 2 (CF6) vs AGD lesion fish 2 (IF3L)","GSM242711","Total RNA from AGD-naive gill non-lesion tissue","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-naive fish 2, no lesion tissue, CF6","AGD-affected fish 2, AGD lesion tissue, IF3L","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 99.1","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 75.9",NA,NA,NA,NA,NA,NA
"GSM242712","AGD lesion fish 2 (IF3L) vs AGD no lesion fish 2 (IF3NL)","GSM242712","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-affected gill non-lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-affected fish 2, AGD lesion tissue, IF3L","AGD-affected fish 2, AGD no lesion tissue, IF3NL","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 75.9","Dissected non-lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 75.9",NA,NA,NA,NA,NA,NA
"GSM242713","AGD lesion fish 3 (IF4L) vs Control fish 3 (CF7)","GSM242713","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-naive gill non-lesion tissue","AGD-affected fish 3, AGD lesion tissue, IF4L","AGD-naive fish 3, no lesion tissue, CF7","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 59.4","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 66.1",NA,NA,NA,NA,NA,NA
"GSM242714","AGD no lesion fish 3 (IF4NL) vs AGD lesion fish 3 (IF4L)","GSM242714","Total RNA from AGD-affected gill non-lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-affected fish 3, AGD no lesion tissue, IF4NL","AGD-affected fish 3, AGD lesion tissue, IF4L","Dissected non-lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 59.4","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 59.4",NA,NA,NA,NA,NA,NA
"GSM242715","AGD lesion fish 5 (IF8L) vs Control fish 4 (CF8)","GSM242715","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-naive gill non-lesion tissue","AGD-affected fish 5, AGD lesion tissue, IF8L","AGD-naive fish 4, no lesion tissue, CF8","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 85.3","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 60.4",NA,NA,NA,NA,NA,NA
"GSM242716","AGD lesion fish 2 (IF3L) vs Control fish 2 (CF6)","GSM242716","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-naive gill non-lesion tissue","AGD-affected fish 2, AGD lesion tissue, IF3L","AGD-naive fish 2, no lesion tissue, CF6","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 75.9","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 99.1",NA,NA,NA,NA,NA,NA
"GSM242717","Control fish 1 (CF2) vs AGD lesion fish 1 (IF1L)","GSM242717","Total RNA from AGD-naive gill non-lesion tissue","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-naive fish 1, no lesion tissue, CF2","AGD-affected fish 1, AGD lesion tissue, IF1L","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 112.9","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 76.8",NA,NA,NA,NA,NA,NA
"GSM242718","AGD lesion fish 5 (IF8L) vs AGD no lesion fish 5 (IF8NL)","GSM242718","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-affected gill non-lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-affected fish 5, AGD lesion tissue, IF8L","AGD-affected fish 5, AGD no lesion tissue, IF8NL","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 85.3","Dissected non-lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 85.3",NA,NA,NA,NA,NA,NA
"GSM242719","AGD lesion fish 1 (IF1L) vs Control fish 1 (CF2)","GSM242719","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-naive gill non-lesion tissue","AGD-affected fish 1, AGD lesion tissue, IF1L","AGD-naive fish 1, no lesion tissue, CF2","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 76.8","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 112.9",NA,NA,NA,NA,NA,NA
"GSM242720","AGD lesion fish 4 (IF6L) vs Control fish 5 (CF9)","GSM242720","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-naive gill non-lesion tissue","AGD-affected fish 4, AGD lesion tissue, IF6L","AGD-naive fish 5, no lesion tissue, CF9","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 79.5","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 85.3",NA,NA,NA,NA,NA,NA
"GSM242721","AGD no lesion fish 5 (IF8NL) vs AGD lesion fish 5 (IF8L)","GSM242721","Total RNA from AGD-affected gill non-lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-affected fish 5, AGD no lesion tissue, IF8NL","AGD-affected fish 5, AGD lesion tissue, IF8L","Dissected non-lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 85.3","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 85.3",NA,NA,NA,NA,NA,NA
"GSM242722","AGD no lesion fish 2 (IF3NL) vs AGD lesion fish 2 (IF3L)","GSM242722","Total RNA from AGD-affected gill non-lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-affected fish 2, AGD no lesion tissue, IF3NL","AGD-affected fish 2, AGD lesion tissue, IF3L","Dissected non-lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 75.9","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 75.9",NA,NA,NA,NA,NA,NA
"GSM242723","Control fish 3 (CF7) vs AGD lesion fish 3 (IF4L)","GSM242723","Total RNA from AGD-naive gill non-lesion tissue","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-naive fish 3, no lesion tissue, CF7","AGD-affected fish 3, AGD lesion tissue, IF4L","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 66.1","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 59.4",NA,NA,NA,NA,NA,NA
"GSM242724","Control fish 5 (CF9) vs AGD lesion fish 4 (IF6L)","GSM242724","Total RNA from AGD-naive gill non-lesion tissue","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-naive fish 5, no lesion tissue, CF9","AGD-affected fish 4, AGD lesion tissue, IF6L","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 85.3","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 79.5",NA,NA,NA,NA,NA,NA
"GSM242725","AGD lesion fish 3 (IF4L) vs AGD no lesion fish 3 (IF4NL)","GSM242725","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-affected gill non-lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-affected fish 3, AGD lesion tissue, IF4L","AGD-affected fish 3, AGD no lesion tissue, IF4NL","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 59.4","Dissected non-lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 59.4",NA,NA,NA,NA,NA,NA
"GSM242726","Control fish 6 (CF10) vs AGD lesion fish 6 (IF10L)","GSM242726","Total RNA from AGD-naive gill non-lesion tissue","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-naive fish 6, no lesion tissue, CF10","AGD-affected fish 6, AGD lesion tissue, IF10L","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 79","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 55.5",NA,NA,NA,NA,NA,NA
"GSM242727","AGD lesion fish 6 (IF10L) vs Control fish 6 (CF10)","GSM242727","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-naive gill non-lesion tissue","AGD-affected fish 6, AGD lesion tissue, IF10L","AGD-naive fish 6, no lesion tissue, CF10","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 55.5","Dissected non-lesion tissue from AGD-naive gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 79",NA,NA,NA,NA,NA,NA
"GSM242728","AGD no lesion fish 1 (IF1NL) vs AGD lesion fish 1 (IF1L)","GSM242728","Total RNA from AGD-affected gill non-lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-affected fish 1, AGD no lesion tissue, IF1NL","AGD-affected fish 1, AGD lesion tissue, IF1L","Dissected non-lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 76.8","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 76.8",NA,NA,NA,NA,NA,NA
"GSM242729","AGD lesion fish 1 (IF1L) vs AGD no lesion fish 1 (IF1NL)","GSM242729","Total RNA from AGD-affected gill lesion tissue at 36 days post inoculation with Neoparamoeba perurans","Total RNA from AGD-affected gill non-lesion tissue at 36 days post inoculation with Neoparamoeba perurans","AGD-affected fish 1, AGD lesion tissue, IF1L","AGD-affected fish 1, AGD no lesion tissue, IF1NL","Dissected lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","weight: 76.8","Dissected non-lesion tissue from AGD-affected gill arch","Fish inoculated with Neoparamoeba perurans, the aetiological agent of AGD","Weight: 76.8",NA,NA,NA,NA,NA,NA
"GSM256167","LPS 72h Direct","GSM256167","LPS head kidney 72h (test)","LPS head kidney 72h (control)","RNA from wild-type trout","RNA from wild-type trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM256169","LPS 72h Reverse","GSM256169","LPS head kidney 72h (control)","LPS head kidney 24h (test)","RNA from wild-type trout","RNA from wild-type trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM256172","attenuatedIHNV 72h Direct","GSM256172","attIHNV head kidney 72h (test)","attIHNV head kidney 72h (control)","RNA from wild-type trout","RNA from wild-type trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM256173","attenuatedIHNV 72h Reverse","GSM256173","attIHNV head kidney 72h (control)","attIHNV head kidney 72h (test)","RNA from wild-type trout","RNA from wild-type trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM259429","IHNV 72h Direct","GSM259429","IHNV head kidney 72h (test)","IHNV head kidney 72h (control)","RNA from wild-type trout","RNA from wild-type trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM259430","IHNV 72h Reverse","GSM259430","IHNV head kidney 72h (control)","IHNV head kidney 72h (test)","RNA from wild-type trout","RNA from wild-type trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159453...58","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 1","GSM159453","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 1","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159455...59","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 3","GSM159455","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 3","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
